2020-09-02:14:04:37.024,2020-09-02T14:04:36.930Z$Msg-UDP-1$1599066277008$-12.274257$-45.12085$1234,
2020-09-02:14:04:38.041,2020-09-02T14:04:38.038Z$Msg-UDP-2$1599066278039$-12.274257$-45.12085$1234,
2020-09-02:14:04:39.050,2020-09-02T14:04:39.049Z$Msg-UDP-3$1599066279049$-12.274257$-45.12085$1234,
2020-09-02:14:04:40.055,2020-09-02T14:04:40.054Z$Msg-UDP-4$1599066280054$-12.274257$-45.12085$1234,
2020-09-02:14:04:41.065,2020-09-02T14:04:41.063Z$Msg-UDP-5$1599066281063$-12.274257$-45.12085$1234,
2020-09-02:14:04:42.074,2020-09-02T14:04:42.072Z$Msg-UDP-6$1599066282072$-12.274257$-45.12085$1234,
2020-09-02:14:04:43.085,2020-09-02T14:04:43.083Z$Msg-UDP-7$1599066283083$-12.274257$-45.12085$1234,
2020-09-02:14:04:44.094,2020-09-02T14:04:44.093Z$Msg-UDP-8$1599066284093$-12.274257$-45.12085$1234,
2020-09-02:14:04:45.108,2020-09-02T14:04:45.106Z$Msg-UDP-9$1599066285106$-12.274257$-45.12085$1234,
2020-09-02:14:04:46.119,2020-09-02T14:04:46.117Z$Msg-UDP-10$1599066286117$-12.274257$-45.12085$1234,
2020-09-02:14:05:32.088,2020-09-02T14:05:32.038Z$Msg-UDP-1$1599066332079$-12.274257$-45.12085$1234,
2020-09-02:14:05:33.095,2020-09-02T14:05:33.092Z$Msg-UDP-2$1599066333093$-12.274257$-45.12085$1234,
2020-09-02:14:05:34.100,2020-09-02T14:05:34.098Z$Msg-UDP-3$1599066334099$-12.274257$-45.12085$1234,
2020-09-02:14:05:35.109,2020-09-02T14:05:35.108Z$Msg-UDP-4$1599066335108$-12.274257$-45.12085$1234,
2020-09-02:14:05:36.120,2020-09-02T14:05:36.118Z$Msg-UDP-5$1599066336118$-12.274257$-45.12085$1234,
2020-09-02:14:05:37.133,2020-09-02T14:05:37.132Z$Msg-UDP-6$1599066337132$-12.274257$-45.12085$1234,
2020-09-02:14:05:38.142,2020-09-02T14:05:38.140Z$Msg-UDP-7$1599066338141$-12.274257$-45.12085$1234,
2020-09-02:14:05:39.152,2020-09-02T14:05:39.150Z$Msg-UDP-8$1599066339150$-12.274257$-45.12085$1234,
2020-09-02:14:05:40.160,2020-09-02T14:05:40.159Z$Msg-UDP-9$1599066340159$-12.274257$-45.12085$1234,
2020-09-02:14:05:41.170,2020-09-02T14:05:41.168Z$Msg-UDP-10$1599066341168$-12.274257$-45.12085$1234,
2020-09-02:14:11:19.602,2020-09-02T14:11:19.550Z$Msg-UDP-1$1599066679592$-12.274257$-45.12085$1234,
2020-09-02:14:11:20.613,2020-09-02T14:11:20.610Z$Msg-UDP-2$1599066680611$-12.274257$-45.12085$1234,
2020-09-02:14:11:21.621,2020-09-02T14:11:21.620Z$Msg-UDP-3$1599066681621$-12.274257$-45.12085$1234,
2020-09-02:14:11:22.633,2020-09-02T14:11:22.631Z$Msg-UDP-4$1599066682632$-12.274257$-45.12085$1234,
2020-09-02:14:11:23.640,2020-09-02T14:11:23.637Z$Msg-UDP-5$1599066683638$-12.274257$-45.12085$1234,
2020-09-02:14:11:24.647,2020-09-02T14:11:24.645Z$Msg-UDP-6$1599066684646$-12.274257$-45.12085$1234,
2020-09-02:14:11:25.661,2020-09-02T14:11:25.659Z$Msg-UDP-7$1599066685660$-12.274257$-45.12085$1234,
2020-09-02:14:11:26.671,2020-09-02T14:11:26.669Z$Msg-UDP-8$1599066686669$-12.274257$-45.12085$1234,
2020-09-02:14:11:27.685,2020-09-02T14:11:27.683Z$Msg-UDP-9$1599066687683$-12.274257$-45.12085$1234,
2020-09-02:14:11:28.690,2020-09-02T14:11:28.688Z$Msg-UDP-10$1599066688688$-12.274257$-45.12085$1234,
2020-09-02:14:12:23.408,2020-09-02T14:12:23.353Z$Msg-UDP-1$1599066743398$-12.274257$-45.12085$1234,
2020-09-02:14:12:24.414,2020-09-02T14:12:24.411Z$Msg-UDP-2$1599066744412$-12.274257$-45.12085$1234,
2020-09-02:14:12:25.420,2020-09-02T14:12:25.418Z$Msg-UDP-3$1599066745419$-12.274257$-45.12085$1234,
2020-09-02:14:12:26.428,2020-09-02T14:12:26.426Z$Msg-UDP-4$1599066746426$-12.274257$-45.12085$1234,
2020-09-02:14:12:27.439,2020-09-02T14:12:27.437Z$Msg-UDP-5$1599066747437$-12.274257$-45.12085$1234,
2020-09-02:14:12:28.446,2020-09-02T14:12:28.444Z$Msg-UDP-6$1599066748444$-12.274257$-45.12085$1234,
2020-09-02:14:12:29.453,2020-09-02T14:12:29.452Z$Msg-UDP-7$1599066749453$-12.274257$-45.12085$1234,
2020-09-02:14:12:30.460,2020-09-02T14:12:30.457Z$Msg-UDP-8$1599066750457$-12.274257$-45.12085$1234,
2020-09-02:14:12:31.467,2020-09-02T14:12:31.465Z$Msg-UDP-9$1599066751465$-12.274257$-45.12085$1234,
2020-09-02:14:12:32.478,2020-09-02T14:12:32.476Z$Msg-UDP-10$1599066752476$-12.274257$-45.12085$1234,
2020-09-02:14:13:39.219,2020-09-02T14:13:39.165Z$Msg-UDP-1$1599066819208$-12.274257$-45.12085$1234,
2020-09-02:14:13:40.236,2020-09-02T14:13:40.233Z$Msg-UDP-2$1599066820234$-12.274257$-45.12085$1234,
2020-09-02:14:13:41.244,2020-09-02T14:13:41.242Z$Msg-UDP-3$1599066821243$-12.274257$-45.12085$1234,
2020-09-02:14:13:42.253,2020-09-02T14:13:42.250Z$Msg-UDP-4$1599066822251$-12.274257$-45.12085$1234,
2020-09-02:14:13:43.262,2020-09-02T14:13:43.260Z$Msg-UDP-5$1599066823260$-12.274257$-45.12085$1234,
2020-09-02:14:13:44.269,2020-09-02T14:13:44.267Z$Msg-UDP-6$1599066824268$-12.274257$-45.12085$1234,
2020-09-02:14:13:45.286,2020-09-02T14:13:45.284Z$Msg-UDP-7$1599066825285$-12.274257$-45.12085$1234,
2020-09-02:14:13:46.296,2020-09-02T14:13:46.294Z$Msg-UDP-8$1599066826294$-12.274257$-45.12085$1234,
2020-09-02:14:13:47.301,2020-09-02T14:13:47.299Z$Msg-UDP-9$1599066827299$-12.274257$-45.12085$1234,
2020-09-02:14:13:48.311,2020-09-02T14:13:48.309Z$Msg-UDP-10$1599066828310$-12.274257$-45.12085$1234,
2020-09-08:16:54:49.239,2020-09-08T16:54:49.193Z$Msg-UDP-1$1599594889229$-12.274257$-45.12085$1234,
2020-09-08:16:54:50.252,2020-09-08T16:54:50.250Z$Msg-UDP-2$1599594890251$-12.274257$-45.12085$1234,
2020-09-08:16:54:51.262,2020-09-08T16:54:51.260Z$Msg-UDP-3$1599594891260$-12.274257$-45.12085$1234,
2020-09-08:16:54:52.279,2020-09-08T16:54:52.278Z$Msg-UDP-4$1599594892278$-12.274257$-45.12085$1234,
2020-09-08:16:54:53.291,2020-09-08T16:54:53.290Z$Msg-UDP-5$1599594893290$-12.274257$-45.12085$1234,
2020-09-08:16:54:54.295,2020-09-08T16:54:54.294Z$Msg-UDP-6$1599594894294$-12.274257$-45.12085$1234,
2020-09-08:16:54:55.313,2020-09-08T16:54:55.312Z$Msg-UDP-7$1599594895312$-12.274257$-45.12085$1234,
2020-09-08:16:54:56.329,2020-09-08T16:54:56.328Z$Msg-UDP-8$1599594896328$-12.274257$-45.12085$1234,
2020-09-08:16:54:57.331,2020-09-08T16:54:57.330Z$Msg-UDP-9$1599594897330$-12.274257$-45.12085$1234,
2020-09-08:16:54:58.335,2020-09-08T16:54:58.333Z$Msg-UDP-10$1599594898333$-12.274257$-45.12085$1234,
2020-09-08:16:56:12.209,2020-09-08T16:56:12.163Z$Msg-UDP-1$1599594972200$-12.274257$-45.12085$1234,
2020-09-08:16:56:13.224,2020-09-08T16:56:13.223Z$Msg-UDP-2$1599594973223$-12.274257$-45.12085$1234,
2020-09-08:16:56:14.232,2020-09-08T16:56:14.230Z$Msg-UDP-3$1599594974231$-12.274257$-45.12085$1234,
2020-09-08:16:56:15.247,2020-09-08T16:56:15.247Z$Msg-UDP-4$1599594975247$-12.274257$-45.12085$1234,
2020-09-08:16:56:16.250,2020-09-08T16:56:16.249Z$Msg-UDP-5$1599594976249$-12.274257$-45.12085$1234,
2020-09-08:16:56:17.255,2020-09-08T16:56:17.254Z$Msg-UDP-6$1599594977254$-12.274257$-45.12085$1234,
2020-09-08:16:56:18.264,2020-09-08T16:56:18.263Z$Msg-UDP-7$1599594978263$-12.274257$-45.12085$1234,
2020-09-08:16:56:19.276,2020-09-08T16:56:19.274Z$Msg-UDP-8$1599594979274$-12.274257$-45.12085$1234,
2020-09-08:16:56:20.281,2020-09-08T16:56:20.279Z$Msg-UDP-9$1599594980280$-12.274257$-45.12085$1234,
